date:    2026-09-24T12:14:23Z
os:      Linux 7.0.14-orbstack-00380-ga7e0a2dc9535
cpu:     0x000
cores:   10
ram:     11GB
kvgo:    7ff6536
params:  count=10 benchtime=500000x shards=1 8 32 transport=in-process
---
"series","workers","run","ns_per_op","ops_per_sec"
"single mutex","1","1","396.0","2525252"
"single mutex","1","2","418.4","2390057"
"single mutex","1","3","399.7","2501876"
"single mutex","1","4","422.4","2367424"
"single mutex","1","5","421.1","2374732"
"single mutex","1","6","384.0","2604166"
"single mutex","1","7","384.9","2598077"
"single mutex","1","8","392.5","2547770"
"single mutex","1","9","379.7","2633658"
"single mutex","1","10","386.6","2586652"
"single mutex","2","1","537.0","1862197"
"single mutex","2","2","572.2","1747640"
"single mutex","2","3","521.1","1919017"
"single mutex","2","4","525.3","1903674"
"single mutex","2","5","542.0","1845018"
"single mutex","2","6","544.6","1836210"
"single mutex","2","7","540.5","1850138"
"single mutex","2","8","519.5","1924927"
"single mutex","2","9","548.7","1822489"
"single mutex","2","10","545.6","1832844"
"single mutex","4","1","597.9","1672520"
"single mutex","4","2","572.3","1747335"
"single mutex","4","3","567.2","1763046"
"single mutex","4","4","564.7","1770851"
"single mutex","4","5","549.6","1819505"
"single mutex","4","6","574.7","1740038"
"single mutex","4","7","597.3","1674200"
"single mutex","4","8","556.7","1796299"
"single mutex","4","9","579.6","1725327"
"single mutex","4","10","548.8","1822157"
"single mutex","8","1","592.8","1686909"
"single mutex","8","2","600.4","1665556"
"single mutex","8","3","593.8","1684068"
"single mutex","8","4","596.2","1677289"
"single mutex","8","5","591.4","1690902"
"single mutex","8","6","568.3","1759633"
"single mutex","8","7","603.6","1656726"
"single mutex","8","8","582.6","1716443"
"single mutex","8","9","599.1","1669170"
"single mutex","8","10","590.5","1693480"
"single mutex","16","1","617.8","1618646"
"single mutex","16","2","621.3","1609528"
"single mutex","16","3","580.8","1721763"
"single mutex","16","4","583.2","1714677"
"single mutex","16","5","606.7","1648261"
"single mutex","16","6","587.3","1702707"
"single mutex","16","7","575.1","1738828"
"single mutex","16","8","597.3","1674200"
"single mutex","16","9","599.4","1668335"
"single mutex","16","10","592.5","1687763"
"single mutex","32","1","595.4","1679543"
"single mutex","32","2","574.2","1741553"
"single mutex","32","3","580.5","1722652"
"single mutex","32","4","571.6","1749475"
"single mutex","32","5","567.6","1761804"
