date:    2026-09-24T12:17:33Z
os:      Linux 7.0.14-orbstack-00380-ga7e0a2dc9535
cpu:     0x000
cores:   10
ram:     11GB
kvgo:    7ff6536
params:  requests=300000 clients=50 keyspace=1000000 repeats=3 transport=tcp
---
"op","shards","run","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"get","1","1","216450.20","0.149","0.000","0.111","0.271","0.991","5.367"
"get","1","2","224215.23","0.146","0.000","0.111","0.263","0.967","7.271"
"get","1","3","224719.09","0.143","0.000","0.111","0.255","0.863","6.807"
"set","1","1","2397.85","20.836","2.400","19.631","23.183","43.615","469.247"
"set","1","2","2316.33","21.559","0.400","19.583","23.311","80.319","1138.687"
"set","1","3","2100.05","23.771","0.472","20.127","27.327","126.847","805.375"
"get","8","1","175541.25","0.183","0.000","0.143","0.335","1.175","6.287"
"get","8","2","181598.06","0.176","0.000","0.135","0.311","1.111","9.519"
"get","8","3","186335.41","0.173","0.000","0.135","0.303","1.167","6.823"
"set","8","1","1997.02","25.021","0.536","21.567","30.495","74.111","1709.055"
"set","8","2","1826.96","27.342","0.400","23.391","37.855","107.519","1452.031"
"set","8","3","1722.45","28.992","0.488","24.223","39.455","134.271","1413.119"
"get","32","1","146341.47","0.218","0.000","0.175","0.391","1.439","7.175"
"get","32","2","156985.88","0.204","0.000","0.159","0.383","1.327","7.775"
"get","32","3","170164.48","0.190","0.000","0.151","0.343","1.231","6.319"
"set","32","1","1877.56","26.614","1.112","23.071","33.567","80.575","1407.999"
"set","32","2","1774.26","28.153","0.576","23.951","40.671","110.975","1637.375"
"set","32","3","1844.96","27.062","0.736","23.727","33.919","86.719","748.031"
